,,Switzerland - 1.78 Mil. Buildings,,Model B - 4701 Buildings,,,Model A - 1287 Buildings,,
,YEARS,Cumulative (MWp),Yearly Adoption (kWp),Cumulative (kWp),Yearly Adoption (kWp),Calibration Data (kWp),Cumulative (kWp),Yearly Adoption (kWp),Calibration Data (kWp)
Historical Data,2013,753.11,-,2036.78,-,,557.61,-,
,2014,1058.14,305.03,2861.73,824.95,,783.46,225.85,
,2015,1391.50,333.36,3763.30,901.57,,1030.29,246.82,
,2016,1661.47,269.97,4493.43,730.13,,1230.17,199.89,
Extrapolation of Historical Data,2017,1980.67,319.20,5356.69,863.26,,1466.51,236.34,
,2018,2286.51,305.84,6183.84,827.15,827.15,1692.96,226.45,226.45
,2019,2592.35,305.84,7010.99,827.15,1654.30,1919.41,226.45,452.90
,2020,2898.20,305.84,7838.14,827.15,2481.46,2145.86,226.45,679.35
,2021,3204.04,305.84,8665.30,827.15,3308.61,2372.32,226.45,905.80
,2022,3509.89,305.84,9492.45,827.15,4135.76,2598.77,226.45,1132.26
,2023,3815.73,305.84,10319.60,827.15,,2825.22,226.45,
,2024,4121.57,305.84,11146.75,827.15,,3051.67,226.45,
,2025,4427.42,305.84,11973.91,827.15,,3278.12,226.45,
,2026,4733.26,305.84,12801.06,827.15,,3504.57,226.45,
,2027,5039.11,305.84,13628.21,827.15,,3731.02,226.45,
,2028,5344.95,305.84,14455.36,827.15,,3957.47,226.45,
,2029,5650.79,305.84,15282.51,827.15,,4183.92,226.45,
,2030,5956.64,305.84,16109.67,827.15,,4410.37,226.45,
,2031,6262.48,305.84,16936.82,827.15,,4636.83,226.45,
,2032,6568.33,305.84,17763.97,827.15,,4863.28,226.45,
,2033,6874.17,305.84,18591.12,827.15,,5089.73,226.45,
,2034,7180.01,305.84,19418.27,827.15,,5316.18,226.45,
,2035,7485.86,305.84,20245.43,827.15,,5542.63,226.45,
