,Plot_ID,Buildings_in_Community,Types_Community,Area_Community,Community_PV_Size,Bldg_share_in_community,Community_Meters,Bldg_share_in_meters_community,Num_EGIDs,Num_Occupants,Demand_Year_MWh,Community_PV_Subsidy
Z0054_Z0055,327,"['Z0054', 'Z0055']","['Residential', 'Residential']",428.0286556872,70,"[0.4142857142857143, 0.5857142857142857]",28,"[0.35714285714285715, 0.6428571428571429]",2,60,125.17699999999999,25400
Z0055_Z0054_Z0056,327,"['Z0055', 'Z0054', 'Z0056']","['Residential', 'Residential', 'Residential']",686.3758109654,113,"[0.36283185840707965, 0.25663716814159293, 0.3805309734513274]",46,"[0.391304347826087, 0.21739130434782608, 0.391304347826087]",3,99,206.301,35300
Z0055_Z0056,327,"['Z0055', 'Z0056']","['Residential', 'Residential']",509.8610811525,84,"[0.4880952380952381, 0.5119047619047619]",36,"[0.5, 0.5]",2,77,160.103,30160
Z0056_Z0055_Z0057,327,"['Z0056', 'Z0055', 'Z0057']","['Residential', 'Residential', 'Residential']",759.7000142320001,125,"[0.344, 0.328, 0.328]",54,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",3,115,238.555,38900
Z0056_Z0057,327,"['Z0056', 'Z0057']","['Residential', 'Residential']",508.1860883577,84,"[0.5119047619047619, 0.4880952380952381]",36,"[0.5, 0.5]",2,77,159.576,30160
Z0063_Z0249_Z1069_Z1697_Z1975,596,"['Z0063', 'Z0249', 'Z1069', 'Z1697', 'Z1975']","['Public', 'Public', 'Residential', 'Commercial', 'Public']",1287.0144382619,212,"[0.42452830188679247, 0.22641509433962265, 0.30660377358490565, 0.03773584905660377, 0.0047169811320754715]",40,"[0.025, 0.025, 0.9, 0.025, 0.025]",5,403,98.898,65000
Z0063_Z0249_Z1069_Z1697,596,"['Z0063', 'Z0249', 'Z1069', 'Z1697']","['Public', 'Public', 'Residential', 'Commercial']",1275.1813672847002,211,"[0.4265402843601896, 0.22748815165876776, 0.3080568720379147, 0.037914691943127965]",39,"[0.02564102564102564, 0.02564102564102564, 0.9230769230769231, 0.02564102564102564]",4,402,98.085,64700
Z0063_Z0249_Z1069_Z1975,596,"['Z0063', 'Z0249', 'Z1069', 'Z1975']","['Public', 'Public', 'Residential', 'Public']",1238.0944595725,204,"[0.4411764705882353, 0.23529411764705882, 0.31862745098039214, 0.004901960784313725]",39,"[0.02564102564102564, 0.02564102564102564, 0.9230769230769231, 0.02564102564102564]",4,398,92.776,62600
Z0063_Z0249_Z1697_Z1975,596,"['Z0063', 'Z0249', 'Z1697', 'Z1975']","['Public', 'Public', 'Commercial', 'Public']",891.2284962869,147,"[0.6122448979591837, 0.32653061224489793, 0.05442176870748299, 0.006802721088435374]",4,"[0.25, 0.25, 0.25, 0.25]",4,324,84.649,45500
Z0063_Z1069_Z1697_Z1975,596,"['Z0063', 'Z1069', 'Z1697', 'Z1975']","['Public', 'Residential', 'Commercial', 'Public']",997.9099492941,164,"[0.5487804878048781, 0.39634146341463417, 0.04878048780487805, 0.006097560975609756]",39,"[0.02564102564102564, 0.9230769230769231, 0.02564102564102564, 0.02564102564102564]",4,345,95.383,50600
