,Plot_ID,Buildings_in_Community,Types_Community,Area_Community,Community_PV_Size,Bldg_share_in_community,Community_Meters,Bldg_share_in_meters_community,Num_EGIDs,Num_Occupants,Demand_Year_MWh,Community_PV_Subsidy
Z0483_Z0667_Z1739,12,"['Z0483', 'Z0667', 'Z1739']","['Residential', 'Residential', 'Residential']",909.7335297,150,"[0.2866666666666667, 0.6466666666666666, 0.06666666666666667]",44,"[0.3181818181818182, 0.6136363636363636, 0.06818181818181818]",7,85,196.239,46400
Z0483_Z0667,12,"['Z0483', 'Z0667']","['Residential', 'Residential']",847.6983857,140,"[0.30714285714285716, 0.6928571428571428]",41,"[0.34146341463414637, 0.6585365853658537]",6,79,188.524,43400
Z0483_Z1739,12,"['Z0483', 'Z1739']","['Residential', 'Residential']",325.2508675,53,"[0.8113207547169812, 0.18867924528301888]",17,"[0.8235294117647058, 0.17647058823529413]",6,27,73.909,19620
Z0667_Z0483,12,"['Z0667', 'Z0483']","['Residential', 'Residential']",847.6983857,140,"[0.6928571428571428, 0.30714285714285716]",41,"[0.6585365853658537, 0.34146341463414637]",6,79,188.524,43400
Z1065_Z0476,12,"['Z1065', 'Z0476']","['Residential', 'Commercial']",9316.145611,1551,"[0.8143133462282398, 0.18568665377176016]",2762,"[0.9876900796524257, 0.012309920347574221]",43,6212,6291.897,466700
Z1739_Z0483,12,"['Z1739', 'Z0483']","['Residential', 'Residential']",325.2508675,53,"[0.18867924528301888, 0.8113207547169812]",17,"[0.17647058823529413, 0.8235294117647058]",6,27,73.909,19620
Z0477_Z0478_Z0480,19,"['Z0477', 'Z0478', 'Z0480']","['Residential', 'Residential', 'Residential']",984.1105277,163,"[0.2331288343558282, 0.5030674846625767, 0.26380368098159507]",74,"[0.21621621621621623, 0.3918918918918919, 0.3918918918918919]",5,158,220.091,50300
Z0477_Z0478,19,"['Z0477', 'Z0478']","['Residential', 'Residential']",724.8406623,120,"[0.31666666666666665, 0.6833333333333333]",45,"[0.35555555555555557, 0.6444444444444445]",3,96,201.678,37400
Z0477_Z0480,19,"['Z0477', 'Z0480']","['Residential', 'Residential']",488.6336868,81,"[0.4691358024691358, 0.5308641975308642]",45,"[0.35555555555555557, 0.6444444444444445]",3,96,90.432,29140
Z0478_Z0477_Z0560,19,"['Z0478', 'Z0477', 'Z0560']","['Residential', 'Residential', 'Residential']",1004.756563,166,"[0.4939759036144578, 0.2289156626506024, 0.27710843373493976]",62,"[0.46774193548387094, 0.25806451612903225, 0.27419354838709675]",5,131,274.924,51200
Z0478_Z0477,19,"['Z0478', 'Z0477']","['Residential', 'Residential']",724.8406623,120,"[0.6833333333333333, 0.31666666666666665]",45,"[0.6444444444444445, 0.35555555555555557]",3,96,201.678,37400
Z0478_Z0560,19,"['Z0478', 'Z0560']","['Residential', 'Residential']",775.3927417,128,"[0.640625, 0.359375]",46,"[0.6304347826086957, 0.3695652173913043]",4,97,202.905,39800
Z0479_Z0480_Z0532_Z0559,19,"['Z0479', 'Z0480', 'Z0532', 'Z0559']","['Residential', 'Residential', 'Residential', 'Residential']",1462.748241,242,"[0.5661157024793388, 0.17768595041322313, 0.1487603305785124, 0.10743801652892562]",102,"[0.5, 0.28431372549019607, 0.12745098039215685, 0.08823529411764706]",9,212,333.295,74000
Z0479_Z0480_Z0532,19,"['Z0479', 'Z0480', 'Z0532']","['Residential', 'Residential', 'Residential']",1303.64796,216,"[0.6342592592592593, 0.19907407407407407, 0.16666666666666666]",93,"[0.5483870967741935, 0.3118279569892473, 0.13978494623655913]",8,192,291.661,66200
Z0479_Z0480_Z0559,19,"['Z0479', 'Z0480', 'Z0559']","['Residential', 'Residential', 'Residential']",1244.133146,206,"[0.6650485436893204, 0.2087378640776699, 0.1262135922330097]",89,"[0.5730337078651685, 0.3258426966292135, 0.10112359550561797]",8,185,276.094,63200
Z0479_Z0532_Z0559,19,"['Z0479', 'Z0532', 'Z0559']","['Residential', 'Residential', 'Residential']",1203.478375,199,"[0.6884422110552764, 0.18090452261306533, 0.1306532663316583]",73,"[0.6986301369863014, 0.1780821917808219, 0.1232876712328767]",7,150,314.882,61100
Z0479_Z0480,19,"['Z0479', 'Z0480']","['Residential', 'Residential']",1085.032865,180,"[0.7611111111111111, 0.2388888888888889]",80,"[0.6375, 0.3625]",7,165,234.46,55400
Z0479_Z0532,19,"['Z0479', 'Z0532']","['Residential', 'Residential']",1044.378095,173,"[0.791907514450867, 0.20809248554913296]",64,"[0.796875, 0.203125]",6,130,273.248,53300
