InputID,MEAN,STDDEV,MIN,MAX
Z0000,208.04070,80.55104,65.92790,370.09264
Z0001,204.53722,65.85550,59.98824,319.28903
Z0002,145.17888,53.87799,19.48812,271.57942
Z0003,97.17019,31.94768,41.01559,162.55488
Z0004,168.86413,67.50962,35.16591,284.75304
Z0005,178.89854,62.64096,32.98045,291.02755
Z0006,118.21158,38.32070,37.78522,190.40115
Z0007,153.49899,51.80834,41.66157,241.48494
Z0008,185.87451,62.97483,58.51804,290.72066
Z0009,153.61867,39.68789,66.31911,228.89800
Z0010,239.12129,87.42711,60.26203,387.37244
Z0011,261.20314,92.59154,60.26203,426.02609
Z0012,225.92457,86.22569,55.45345,381.23954
Z0013,209.94525,81.87902,60.79938,348.91294
Z0014,265.42993,77.17709,104.25625,387.52830
Z0015,153.90503,51.32943,62.31768,258.51989
Z0016,154.45910,75.69465,1.64552,317.45238
Z0017,154.85908,75.85890,1.64552,318.89040
Z0018,160.86511,77.45208,24.34007,317.82917
Z0019,252.71697,92.72930,59.67107,412.64224
Z0020,179.53932,62.11610,63.24224,304.86448
Z0021,182.92287,59.95725,2.01183,300.54267
Z0022,183.18936,60.13023,2.01183,300.35521
Z0023,130.00227,54.02270,51.42531,253.52096
Z0024,158.10478,51.88414,3.98151,267.73817
Z0025,156.15320,51.10014,3.98151,264.73243
Z0026,158.16771,67.45152,5.46752,277.70584
Z0027,142.67495,53.11941,21.79870,229.06873
Z0028,269.65786,94.42614,72.67962,461.70552
Z0029,309.53134,98.28254,73.22438,521.37718
Z0030,113.40668,41.81047,42.06453,210.38644
Z0031,137.87655,43.85366,50.38023,232.10276
Z0032,117.75851,32.39575,44.29625,186.14875
Z0033,202.37887,64.15875,49.20347,310.48559
Z0034,149.37568,48.66514,46.02396,231.77523
Z0035,150.60065,58.90600,43.16875,263.35489
Z0036,269.24936,72.98174,92.64689,430.68575
Z0037,239.91795,79.06867,55.45345,391.60509
Z0038,154.08401,53.81514,58.73422,259.63292
Z0039,144.66448,44.43862,56.96255,243.13624
Z0040,197.90724,71.61345,33.93688,311.78677
Z0041,135.66762,35.81271,58.68074,202.09638
Z0042,109.73102,35.91055,37.76168,183.90233
Z0043,117.47136,51.94180,29.84006,229.10687
Z0044,105.78622,44.68484,29.84006,212.49059
Z0045,106.73780,44.11567,34.79718,216.20302
Z0046,126.13715,60.42245,26.57581,247.30676
Z0047,102.40100,39.67152,28.84757,199.44761
Z0048,139.25936,41.52878,60.87699,225.10211
Z0049,144.58261,41.42918,55.86195,224.75990
Z0050,134.12544,45.04421,37.76640,217.48067
Z0051,138.91666,44.29286,37.76640,219.25512
Z0052,143.78127,37.16315,61.19564,229.88256
Z0053,132.15834,50.39861,37.05982,230.89252
Z0054,126.89109,55.81104,33.61828,235.46437
Z0055,125.43193,50.23358,33.61828,234.86791
Z0056,128.85620,44.11668,36.80601,215.50748
Z0057,131.25383,45.31093,36.80601,208.01682
Z0058,140.73280,49.98715,43.36584,226.48133
Z0059,136.82618,59.05842,31.34393,246.98440
Z0060,178.63537,52.48171,27.74783,279.96417
Z0061,142.96911,38.10693,67.01715,213.48071
Z0062,142.04908,44.18147,59.36252,228.47300
Z0063,126.79643,56.38152,27.71554,225.09180
Z0064,114.08915,60.23842,14.88757,239.87288
Z0065,142.60072,51.81451,32.80506,224.54298
Z0066,150.64513,49.11749,57.88064,247.10481
Z0067,205.26766,59.96719,80.84615,319.58751
Z0068,138.90746,50.81200,44.61181,244.33264
Z0069,168.05471,49.67310,49.05410,263.31887
Z0070,194.32069,76.60118,32.93787,323.32713
Z0071,190.47219,54.29664,77.02510,278.16198
Z0072,140.82822,41.33915,31.82471,226.38440
Z0073,178.83964,41.13032,88.40654,288.02759
Z0074,134.68646,39.40495,54.03942,230.74577
Z0075,137.56847,55.65606,31.31685,256.47531
Z0076,193.52226,68.48703,74.21954,313.73868
Z0077,222.40482,68.29486,51.26796,340.28160
Z0078,146.92229,50.81268,39.62221,247.26121
Z0079,155.56322,46.62550,64.06533,256.14809
Z0080,145.78795,65.66940,19.12475,264.91144
Z0081,147.97981,64.69476,26.17382,273.01488
Z0082,166.57855,64.62000,39.96259,297.65489
Z0083,133.97881,61.79404,26.17382,257.30131
Z0084,125.48467,58.14952,24.78612,241.29292
Z0085,148.73311,65.07872,11.73782,275.46014
Z0086,201.64801,89.74859,59.15523,380.43756
Z0087,212.87108,80.56888,31.21933,340.59035
Z0088,190.92958,60.57487,69.59731,307.11915
Z0089,166.72834,48.27482,74.14913,255.70744
Z0090,147.39870,58.32828,25.02198,264.60263
Z0091,205.25819,53.95366,91.73156,300.35511
Z0092,171.35364,62.09096,51.67378,264.89979
Z0093,183.93638,63.63239,38.70605,287.66736
Z0094,192.38517,75.49846,46.27040,307.61801
Z0095,175.89802,64.56589,46.95315,274.27467
Z0096,203.40201,69.51986,59.27117,319.41823
Z0097,215.35454,72.08436,58.07836,333.16343
Z0098,196.25961,69.27189,24.46989,312.81374
Z0099,175.69483,50.82190,55.98138,258.18385
Z0100,186.70079,58.61485,55.98138,272.63396
Z0101,165.49025,50.26380,41.59856,256.52244
Z0102,219.07419,63.18382,38.97195,327.31349
Z0103,179.89069,39.11624,92.11677,273.66390
Z0104,159.08158,51.92938,46.95315,246.68408
Z0105,154.22344,45.58943,50.44305,237.87993
