InputID,MEAN,STDDEV,MIN,MAX
Z0000,1471.99757,613.30431,65.92790,2790.58185
Z0001,1315.52356,560.03601,59.98824,2740.13309
Z0002,1436.75864,626.44961,19.48812,2992.79309
Z0003,1328.88144,627.39461,41.01559,2883.46125
Z0004,1270.68227,587.03190,35.16591,2688.16046
Z0005,1068.76495,501.72612,32.98045,2434.42740
Z0006,1109.92772,525.42045,37.78522,2346.59343
Z0007,892.72426,378.19725,41.66157,1891.77944
Z0008,913.72202,393.73047,58.51804,1981.49375
Z0009,1318.95070,608.32298,66.31911,2611.56494
Z0010,1379.62541,603.43004,60.26203,2561.58635
Z0011,1424.97112,612.89058,60.26203,2621.82055
Z0012,1405.54017,615.41700,55.45345,2628.67987
Z0013,1356.61335,604.70138,60.79938,2565.90146
Z0014,1403.93602,602.59715,104.25625,2736.37395
Z0015,1334.86546,609.80429,62.31768,2583.97005
Z0016,1702.13622,671.27590,1.64552,3066.08322
Z0017,1702.56089,671.32215,1.64552,3066.42754
Z0018,1703.54294,670.62446,24.34007,3069.29150
Z0019,1339.56249,553.07937,59.67107,2550.44707
Z0020,1344.86949,607.34807,63.24224,2575.83968
Z0021,1394.08657,619.08742,2.01183,2640.01111
Z0022,1393.32710,618.80961,2.01183,2638.58395
Z0023,1333.99852,613.47718,51.42531,2598.84367
Z0024,1384.54234,621.67418,3.98151,2646.34861
Z0025,1382.75832,621.50383,3.98151,2644.98584
Z0026,1072.03967,490.09850,5.46752,2145.99702
Z0027,919.73345,399.80613,21.79870,1848.99955
Z0028,1664.10506,617.81943,72.67962,3026.63222
Z0029,1727.61237,622.13466,73.22438,3098.94295
Z0030,904.04015,390.68703,42.06453,1767.62794
Z0031,1002.24437,455.03731,50.38023,2101.25163
Z0032,1085.94533,513.77089,44.29625,2313.67165
Z0033,1065.37143,466.91353,49.20347,2355.24409
Z0034,1381.23726,620.41634,46.02396,2694.35668
Z0035,1382.05717,608.90773,43.16875,2689.52749
Z0036,1375.33883,601.80934,92.64689,2809.43881
Z0037,1449.01479,623.80085,55.45345,2683.99966
Z0038,1472.07682,643.59301,58.73422,2772.08680
Z0039,1426.61232,634.44684,56.96255,2713.70994
Z0040,1540.88068,650.46483,33.93688,2842.35195
Z0041,1187.42663,570.44084,58.68074,2671.38801
Z0042,1411.77837,644.26495,37.76168,2979.23316
Z0043,1544.60932,661.75590,29.84006,3136.29153
Z0044,1522.48771,660.45135,29.84006,3112.62957
Z0045,1512.80136,658.24596,34.79718,3097.79418
Z0046,1548.62602,663.58856,26.57581,3148.05973
Z0047,1514.85165,660.69602,28.84757,3107.63551
Z0048,929.06279,401.41490,60.87699,2106.00859
Z0049,915.42538,387.10580,55.86195,2075.90115
Z0050,900.67189,374.87553,37.76640,2017.62304
Z0051,906.59960,378.39678,37.76640,2044.23635
Z0052,941.61016,409.97876,61.19564,2158.57571
Z0053,912.12079,386.99343,37.05982,2049.38191
Z0054,910.80868,387.06572,33.61828,2031.69279
Z0055,916.08801,392.20917,33.61828,2038.06794
Z0056,926.50972,401.13593,36.80601,2070.67763
Z0057,937.36810,410.22036,36.80601,2106.75853
Z0058,955.41765,423.80562,43.36584,2177.79850
Z0059,967.71751,434.73748,31.34393,2191.08410
Z0060,1010.69540,468.07548,27.74783,2232.16595
Z0061,1057.79998,496.67672,67.01715,2198.23853
Z0062,1096.77630,520.18724,59.36252,2246.89154
Z0063,1350.33659,620.96987,27.71554,2646.02767
Z0064,1327.83764,614.35466,14.88757,2603.13087
Z0065,1280.02459,597.27544,32.80506,2526.67514
Z0066,1406.30489,630.08427,57.88064,2725.73116
Z0067,1352.07444,612.89706,80.84615,2857.71619
Z0068,1299.44315,583.33214,44.61181,2791.38623
Z0069,1160.83120,547.48054,49.05410,2325.92263
Z0070,1170.78649,520.99443,32.93787,2367.52617
Z0071,1260.75982,565.70010,77.02510,2356.40039
Z0072,1451.86481,643.48840,31.82471,2777.44852
Z0073,1637.70425,658.76403,88.40654,3000.43396
Z0074,1572.21737,657.82250,54.03942,2925.22092
Z0075,1640.31812,665.14180,31.31685,3001.92067
Z0076,1708.77879,666.85709,74.21954,3078.66063
Z0077,1608.26377,642.77780,51.26796,2962.07354
Z0078,1315.57281,583.70361,39.62221,2478.89699
Z0079,972.97478,416.35748,64.06533,2057.28689
Z0080,1041.71035,464.19579,19.12475,2134.11398
Z0081,1590.22973,665.92483,26.17382,3194.26866
Z0082,1617.63500,666.83516,39.96259,3223.02988
