InputID,TargetID,Distance
Z0000,Z0733,1605.59944
Z0000,Z0730,1772.49998
Z0000,Z0731,1683.67734
Z0000,Z0720,1768.21631
Z0000,Z0721,1744.15548
Z0000,Z0718,1823.21448
Z0000,Z0719,1813.54314
Z0000,Z0724,1719.98352
Z0000,Z0725,1817.30321
Z0000,Z0722,2004.65657
Z0000,Z0723,2046.72197
Z0000,Z0712,1996.51749
Z0000,Z0713,1954.74290
Z0000,Z0710,2027.37397
Z0000,Z0711,2026.52143
Z0000,Z0716,1872.74183
Z0000,Z0717,1856.19064
Z0000,Z0714,1957.55917
Z0000,Z0715,1884.60271
Z0000,Z0769,1933.28016
Z0000,Z0770,1931.61855
Z0000,Z0767,1960.83166
Z0000,Z0768,1927.92086
Z0000,Z0773,1879.20072
Z0000,Z0774,1889.82923
Z0000,Z0771,1929.91235
Z0000,Z0772,1872.48317
Z0000,Z0761,2102.48986
Z0000,Z0762,2075.59553
Z0000,Z0759,2123.19666
Z0000,Z0760,2166.87103
Z0000,Z0765,2002.23027
Z0000,Z0766,1991.98140
Z0000,Z0763,2173.13086
Z0000,Z0764,2064.09494
Z0000,Z0753,2072.48094
Z0000,Z0754,2012.69398
Z0000,Z0751,2135.65970
Z0000,Z0752,2106.90265
Z0000,Z0757,2183.60468
Z0000,Z0758,2153.55431
Z0000,Z0755,2244.95493
Z0000,Z0756,2213.95131
Z0000,Z0745,1916.65506
Z0000,Z0746,1923.91308
Z0000,Z0743,1683.46949
Z0000,Z0744,1782.92984
Z0000,Z0749,1835.97263
Z0000,Z0750,2093.47782
Z0000,Z0747,1842.13662
Z0000,Z0748,1824.57327
Z0000,Z0672,809.16484
Z0000,Z0673,803.48749
Z0000,Z0670,894.49646
Z0000,Z0671,743.66315
Z0000,Z0676,772.78814
Z0000,Z0677,457.04835
Z0000,Z0674,811.75706
Z0000,Z0675,789.98753
Z0000,Z0664,1473.02197
Z0000,Z0665,1235.73031
Z0000,Z0662,1543.77337
Z0000,Z0663,1632.89975
Z0000,Z0668,1916.48697
Z0000,Z0669,1561.98929
Z0000,Z0666,1991.23366
Z0000,Z0667,2133.55101
Z0000,Z0656,1489.25275
Z0000,Z0657,1478.37034
Z0000,Z0654,1516.61013
Z0000,Z0655,1502.00340
Z0000,Z0660,1521.45197
Z0000,Z0661,1532.00748
Z0000,Z0658,1504.79742
Z0000,Z0659,1511.93124
Z0000,Z0648,980.77757
Z0000,Z0649,849.48553
Z0000,Z0646,949.32950
Z0000,Z0647,940.51440
Z0000,Z0652,1252.82702
Z0000,Z0653,1535.08278
Z0000,Z0650,795.20561
Z0000,Z0651,1223.92740
Z0000,Z0704,1806.99601
Z0000,Z0705,1926.67330
Z0000,Z0702,2051.55799
Z0000,Z0703,1927.12086
Z0000,Z0708,2090.24813
Z0000,Z0709,2056.10772
Z0000,Z0706,1919.54196
Z0000,Z0707,2106.69773
Z0000,Z0696,2189.80692
Z0000,Z0697,2205.10617
Z0000,Z0694,2125.41429
Z0000,Z0695,2147.69905
Z0000,Z0700,2163.86321
Z0000,Z0701,2086.55107
Z0000,Z0698,2155.57053
Z0000,Z0699,2210.81031
Z0000,Z0688,2228.13815
Z0000,Z0689,2260.87533
Z0000,Z0686,1856.24330
Z0000,Z0687,2202.81386
Z0000,Z0692,2129.50437
Z0000,Z0693,2136.79199
Z0000,Z0690,2244.48626
Z0000,Z0691,2061.63566
Z0000,Z0680,420.10805
Z0000,Z0681,394.57487
Z0000,Z0678,483.15250
Z0000,Z0679,480.13368
Z0000,Z0684,1519.51796
Z0000,Z0685,1604.40430
Z0000,Z0682,1602.55763
Z0000,Z0683,1631.69543
Z0000,Z0865,1102.01371
Z0000,Z0866,1436.38662
Z0000,Z0863,1026.59882
Z0000,Z0864,990.71810
Z0000,Z0871,2089.74595
Z0000,Z0874,2241.49203
Z0000,Z0867,1566.24107
Z0000,Z0868,1561.40529
Z0000,Z0857,2338.76208
Z0000,Z0858,2254.81286
Z0000,Z0855,2388.53514
Z0000,Z0856,2281.14766
Z0000,Z0861,1032.08303
Z0000,Z0862,1000.83490
Z0000,Z0859,2385.59372
Z0000,Z0860,2289.27977
Z0000,Z0849,2294.15606
Z0000,Z0850,2229.49076
Z0000,Z0847,2202.58221
Z0000,Z0848,2293.67709
Z0000,Z0853,2206.96104
Z0000,Z0854,1919.59970
Z0000,Z0851,2340.50580
Z0000,Z0852,2316.45825
Z0000,Z0841,2198.21148
Z0000,Z0842,2371.25134
Z0000,Z0839,2387.15781
Z0000,Z0840,2193.06705
Z0000,Z0845,2349.06307
Z0000,Z0846,2382.31863
Z0000,Z0843,2337.56064
Z0000,Z0844,2324.45898
Z0000,Z0901,1817.40244
Z0000,Z0902,1825.45082
Z0000,Z0899,1965.78205
Z0000,Z0900,1828.18560
Z0000,Z0905,1905.67293
Z0000,Z0906,1847.51585
Z0000,Z0903,1799.52891
Z0000,Z0904,1907.18204
Z0000,Z0893,1886.26585
Z0000,Z0894,2212.72961
Z0000,Z0891,1866.70353
Z0000,Z0892,1771.41351
Z0000,Z0897,1845.70352
Z0000,Z0898,1876.77982
Z0000,Z0895,1875.43501
Z0000,Z0896,2394.45904
Z0000,Z0885,2130.11508
Z0000,Z0886,2152.29377
Z0000,Z0883,2191.41732
Z0000,Z0884,2204.83054
Z0000,Z0889,2007.83040
Z0000,Z0890,2147.24515
Z0000,Z0887,2266.26560
Z0000,Z0888,2232.22851
Z0000,Z0877,2190.76843
Z0000,Z0878,2273.68560
Z0000,Z0875,2401.07077
Z0000,Z0876,2012.86603
Z0000,Z0881,2105.39601
Z0000,Z0882,2477.38530
Z0000,Z0879,2150.71140
Z0000,Z0880,2390.02486
Z0000,Z0801,1943.81939
Z0000,Z0802,1910.21605
Z0000,Z0799,1987.59252
Z0000,Z0800,2025.30403
Z0000,Z0805,1944.00532
Z0000,Z0806,1912.01649
Z0000,Z0803,1878.58569
Z0000,Z0804,1847.50394
Z0000,Z0793,2085.12178
Z0000,Z0794,1921.13223
Z0000,Z0791,1775.28862
Z0000,Z0792,1783.88141
Z0000,Z0797,2148.96484
Z0000,Z0798,2115.46758
Z0000,Z0795,1817.17220
Z0000,Z0796,1786.04180
Z0000,Z0785,1738.11890
Z0000,Z0786,1721.19974
Z0000,Z0783,1747.74300
Z0000,Z0784,1762.94904
Z0000,Z0789,1690.75397
Z0000,Z0790,1753.75292
Z0000,Z0787,1762.16950
Z0000,Z0788,1747.33246
Z0000,Z0777,1901.27995
Z0000,Z0778,1879.51117
Z0000,Z0775,1828.03384
Z0000,Z0776,1790.44850
Z0000,Z0781,1790.36723
Z0000,Z0782,1772.84693
Z0000,Z0779,1850.56150
Z0000,Z0780,1800.91407
Z0000,Z0833,2406.73289
Z0000,Z0834,2436.91328
Z0000,Z0831,2471.90564
Z0000,Z0832,2463.20059
Z0000,Z0837,2215.96616
Z0000,Z0838,2194.34447
Z0000,Z0835,2370.11699
Z0000,Z0836,2334.40180
Z0000,Z0825,2408.66975
Z0000,Z0826,2407.58190
Z0000,Z0823,1684.56834
Z0000,Z0824,2455.59736
Z0000,Z0829,2374.66801
Z0000,Z0830,2385.28504
Z0000,Z0827,2432.78810
Z0000,Z0828,2404.36632
Z0000,Z0817,1809.75036
Z0000,Z0818,1690.77952
Z0000,Z0815,1814.53047
Z0000,Z0816,1866.79579
Z0000,Z0821,1731.98869
Z0000,Z0822,1709.54670
Z0000,Z0819,1639.13832
Z0000,Z0820,1749.91461
Z0000,Z0809,1817.43527
Z0000,Z0810,1785.53190
Z0000,Z0807,1880.14057
Z0000,Z0808,1848.64234
Z0000,Z0813,1833.73217
Z0000,Z0814,1890.37889
Z0000,Z0811,1920.42208
Z0000,Z0812,1848.17950
Z0000,Z0999,1229.60692
Z0000,Z1000,1256.51253
Z0000,Z0997,1295.96647
Z0000,Z0998,1245.78156
Z0000,Z1003,1029.40810
Z0000,Z1004,1074.18658
Z0000,Z1001,1277.78634
Z0000,Z1002,1027.85893
Z0000,Z0991,1475.65652
Z0000,Z0992,1298.34042
Z0000,Z0989,1433.84046
Z0000,Z0990,1370.01845
Z0000,Z0995,1373.16912
Z0000,Z0996,1340.00010
Z0000,Z0993,1352.23408
Z0000,Z0994,1440.85335
Z0000,Z0982,1375.84346
Z0000,Z0983,1273.32425
Z0000,Z0980,1418.32139
Z0000,Z0981,1416.07688
Z0000,Z0987,1297.13995
Z0000,Z0988,1415.35666
Z0000,Z0984,1385.19893
Z0000,Z0985,1358.54910
Z0000,Z0974,1391.04343
Z0000,Z0975,1377.23772
Z0000,Z0972,1285.22134
Z0000,Z0973,1265.49361
Z0000,Z0978,1419.57545
Z0000,Z0979,1396.27921
Z0000,Z0976,1323.52021
Z0000,Z0977,1347.60061
Z0000,Z1031,1085.60309
Z0000,Z1032,1325.06526
Z0000,Z1029,1175.75217
Z0000,Z1030,1471.08679
Z0000,Z1035,1362.59197
Z0000,Z1036,1257.58125
Z0000,Z1033,1225.85371
