Name,Xcoord,Ycoord,ZoneID,Building Type
Z0000,682475,247571,0,Mixed-Use-Residential
Z0001,682524,246430,1,Supermarket
Z0002,682520,246114,2,Mixed-Use-Residential
Z0003,682254,245995,3,Residential
Z0004,680788,245998,4,Residential
Z0005,681719,246107,5,Supermarket
Z0006,681422,246018,6,Supermarket
Z0007,681255,246669,7,Mixed-Use-Residential
Z0008,681263,246521,8,Mixed-Use-Residential
Z0009,682126,247677,9,Office
Z0010,681632,247975,10,Residential
Z0011,681743,248002,11,Mixed-Use-Residential
Z0012,681794,247993,12,Mixed-Use-Residential
Z0013,681743,247892,13,Mixed-Use-Residential
Z0014,681314,245643,14,Office
Z0015,681904,247827,15,Residential
Z0016,682358,248124,16,Mixed-Use-Residential
Z0017,682376,248077,17,Gym
Z0018,682399,248073,18,Supermarket
Z0019,682540,247211,19,Mixed-Use-Residential
Z0020,681809,247889,20,Residential
Z0021,681838,247930,21,Mixed-Use-Residential
Z0022,681859,247938,22,Gym
Z0023,681970,247805,23,Mixed-Use-Residential
Z0024,681903,247917,24,Mixed-Use-Residential
Z0025,681924,247896,25,Industry
Z0026,681303,247498,26,Mixed-Use-Residential
Z0027,681623,247113,27,Mixed-Use-Residential
Z0028,680256,247738,28,Residential
Z0029,680233,247786,29,Residential
Z0030,681533,247077,30,Residential
Z0031,681041,247201,31,Residential
Z0032,681391,246058,32,Office
Z0033,682112,246652,33,Supermarket
Z0034,682268,247679,34,Gym
Z0035,682343,247579,35,Auditorium
Z0036,681729,245673,36,No Occupancy
Z0037,681795,248026,37,No Occupancy
Z0038,682036,247957,38,School
Z0039,682007,247918,39,No Occupancy
Z0040,682030,248066,40,School
Z0041,682025,246081,41,Mixed-Use-Residential
Z0042,682187,245814,42,Residential
Z0043,682285,245663,43,Residential
Z0044,682271,245699,44,Residential
Z0045,682245,245722,45,Residential
Z0046,682354,245726,46,Residential
Z0047,682316,245739,47,Mixed-Use-Residential
Z0048,681615,246458,48,Supermarket
Z0049,681675,246524,49,Supermarket
Z0050,681627,246582,50,Supermarket
Z0051,681660,246568,51,Mixed-Use-Residential
Z0052,681660,246416,52,Mixed-Use-Residential
Z0053,681577,246499,53,Residential
Z0054,681544,246497,54,Residential
Z0055,681516,246476,55,Residential
Z0056,681535,246422,56,Residential
Z0057,681544,246398,57,Residential
Z0058,681613,246360,58,Auditorium
Z0059,681577,246320,59,Gym
Z0060,680961,246479,60,24-Hour-Use
Z0061,681936,247287,61,Gym
Z0062,681765,247562,62,Gym
Z0063,682107,247761,63,School
Z0064,682006,247775,64,Mixed-Use-Residential
Z0065,681938,247735,65,School
Z0066,682255,247738,66,Supermarket
Z0067,681917,245796,67,Supermarket
Z0068,682441,246319,68,Auditorium
Z0069,681764,247627,69,Office
Z0070,681065,247570,70,School
Z0071,681439,247837,71,Residential
Z0072,682205,247855,72,Office
Z0073,682448,247906,73,Supermarket
Z0074,682384,247879,74,Supermarket
Z0075,682371,247950,75,Office
Z0076,682500,247993,76,Office
Z0077,682547,247786,77,24-Hour-Use
Z0078,680399,246906,78,School
Z0079,681947,246911,79,Residential
Z0080,682053,247134,80,Residential
Z0081,682377,245676,81,Residential
Z0082,682373,245640,82,Residential
Z0083,682349,245677,83,Residential
Z0084,682325,245669,84,Residential
Z0085,682329,245628,85,Residential
Z0086,682532,247634,86,Supermarket
Z0087,681861,245801,87,Supermarket
Z0088,681905,245916,88,Supermarket
Z0089,682304,247475,89,Mixed-Use-Residential
Z0090,682247,247505,90,Gym
Z0091,680948,246160,91,Supermarket
Z0092,681171,246297,92,Supermarket
Z0093,681208,246369,93,Supermarket
Z0094,681112,246306,94,Supermarket
Z0095,681129,246251,95,Supermarket
Z0096,681056,246347,96,Supermarket
Z0097,680992,246328,97,Supermarket
Z0098,681210,246413,98,Supermarket
Z0099,681337,246343,99,Supermarket
Z0100,681304,246410,100,Supermarket
Z0101,681393,246376,101,Supermarket
Z0102,680881,246267,102,Office
Z0103,680951,246032,103,Supermarket
Z0104,681121,246215,104,Supermarket
Z0105,681309,246259,105,Office
Z0106,681195,246252,106,Gym
Z0107,681193,246228,107,Gym
Z0108,681140,246231,108,Industry
Z0109,681157,246176,109,Supermarket
Z0110,681223,246201,110,Gym
Z0111,681288,246227,111,Supermarket
Z0112,681361,246303,112,Supermarket
Z0113,681381,246239,113,Supermarket
Z0114,681400,246175,114,Supermarket
Z0115,681346,246175,115,Gym
Z0116,681361,246158,116,Gym
Z0117,681250,246170,117,Industry
Z0118,681148,246124,118,Supermarket
Z0119,682217,247506,119,Office
Z0120,682197,247554,120,Mixed-Use-Residential
Z0121,682239,247353,121,Office
Z0122,682159,247341,122,Office
Z0123,682199,246973,123,No Occupancy
Z0124,682192,246311,124,Mixed-Use-Residential
Z0125,682274,247372,125,Auditorium
Z0126,682321,247313,126,Mixed-Use-Residential
Z0127,682443,247005,127,Auditorium
Z0128,681489,247907,128,Residential
Z0129,681484,247963,129,Residential
Z0130,681439,247920,130,Residential
Z0131,682479,247486,131,Mixed-Use-Residential
Z0132,682321,247530,132,Mixed-Use-Residential
Z0133,682243,247485,133,Mixed-Use-Residential
Z0134,682021,247578,134,Auditorium
Z0135,681819,247590,135,Mixed-Use-Residential
Z0136,681681,247717,136,Office
Z0137,681598,247780,137,Supermarket
Z0138,681635,247842,138,Residential
Z0139,681634,247928,139,Residential
Z0140,682216,246571,140,School
Z0141,682419,246810,141,School
Z0142,682432,246688,142,School
Z0143,682322,247359,143,Residential
Z0144,682475,247368,144,Office
Z0145,682391,247324,145,Office
Z0146,682167,247307,146,Residential
Z0147,682027,247225,147,Supermarket
Z0148,681936,247630,148,Supermarket
Z0149,682296,245930,149,Residential
Z0150,682291,245959,150,Residential
Z0151,682293,245865,151,Residential
Z0152,682241,245821,152,Residential
Z0153,682254,245883,153,Mixed-Use-Residential
Z0154,682272,245938,154,Residential
Z0155,682201,245925,155,Residential
Z0156,682163,245913,156,Residential
Z0157,682198,245848,157,Mixed-Use-Residential
Z0158,682176,245841,158,Residential
Z0159,682103,245883,159,Residential
Z0160,682124,245901,160,Mixed-Use-Residential
Z0161,682309,245883,161,Mixed-Use-Residential
Z0162,682193,246805,162,Residential
Z0163,682233,246787,163,Residential
Z0164,682216,246737,164,Residential
Z0165,682258,246820,165,Residential
Z0166,680807,248049,166,Residential
Z0167,680580,247980,167,Residential
Z0168,680677,248022,168,Residential
Z0169,680621,248035,169,Residential
Z0170,680472,248024,170,Residential
Z0171,680441,248004,171,Residential
Z0172,680272,247969,172,Residential
Z0173,680537,248005,173,Residential
Z0174,680522,248000,174,Office
Z0175,680240,247989,175,Residential
Z0176,680199,248032,176,Residential
Z0177,680871,248015,177,Mixed-Use-Residential
Z0178,680917,247958,178,Supermarket
Z0179,680947,247987,179,Supermarket
Z0180,680957,247972,180,Gym
Z0181,680866,247901,181,Residential
Z0182,681077,247921,182,Supermarket
Z0183,680985,247920,183,Industry
Z0184,681029,247969,184,Supermarket
Z0185,680801,247992,185,Residential
Z0186,680995,247863,186,Residential
Z0187,680960,247832,187,Industry
Z0188,681127,247912,188,Residential
Z0189,681862,247276,189,Supermarket
Z0190,681989,247342,190,Residential
Z0191,681991,247511,191,Mixed-Use-Residential
Z0192,681979,247543,192,Supermarket
Z0193,681959,247606,193,Office
Z0194,682072,247665,194,Supermarket
Z0195,682260,247636,195,Office
Z0196,682173,247530,196,Supermarket
Z0197,682188,247468,197,Residential
Z0198,682223,247468,198,Mixed-Use-Residential
Z0199,682081,246667,199,Supermarket
Z0200,682103,246542,200,Supermarket
Z0201,682087,246494,201,Mixed-Use-Residential
Z0202,682061,246557,202,Supermarket
Z0203,682041,246635,203,Office
Z0204,682137,246726,204,Residential
Z0205,681921,247235,205,Mixed-Use-Residential
Z0206,681425,247970,206,Residential
Z0207,681546,248010,207,Residential
Z0208,681215,248056,208,Residential
Z0209,680794,247594,209,Auditorium
Z0210,680741,247908,210,Office
Z0211,680755,247962,211,Supermarket
Z0212,680714,247937,212,Gym
Z0213,680471,247773,213,Auditorium
Z0214,680677,247930,214,Auditorium
Z0215,680961,247759,215,Auditorium
Z0216,680871,247467,216,Auditorium
Z0217,681163,248014,217,Mixed-Use-Residential
Z0218,681108,247958,218,Mixed-Use-Residential
Z0219,681135,248041,219,Residential
Z0220,681000,248032,220,Supermarket
Z0221,681034,248074,221,Mixed-Use-Residential
Z0222,681074,248054,222,Supermarket
Z0223,681290,248056,223,Mixed-Use-Residential
Z0224,681346,248063,224,Industry
Z0225,681321,248044,225,Hospitality
Z0226,681362,248052,226,Hospitality
Z0227,681357,248009,227,Mixed-Use-Residential
Z0228,681337,248023,228,Industry
Z0229,681330,247992,229,Mixed-Use-Residential
Z0230,681305,248009,230,Residential
Z0231,681281,248014,231,Residential
Z0232,681264,248028,232,Mixed-Use-Residential
Z0233,681262,248008,233,Residential
Z0234,681318,247946,234,Residential
Z0235,681321,247914,235,Industry
Z0236,681188,247944,236,Mixed-Use-Residential
Z0237,681391,247781,237,Mixed-Use-Residential
Z0238,681386,247809,238,Mixed-Use-Residential
Z0239,681383,247881,239,Mixed-Use-Residential
Z0240,681364,247863,240,Mixed-Use-Residential
Z0241,681215,247937,241,Mixed-Use-Residential
Z0242,681724,248122,242,Residential
Z0243,681746,247871,243,Mixed-Use-Residential
Z0244,681734,247832,244,Office
Z0245,681701,247835,245,School
Z0246,681133,247686,246,Residential
Z0247,681102,247721,247,School
Z0248,681170,247742,248,Residential
Z0249,682125,247721,249,Auditorium
Z0250,681839,246139,250,Mixed-Use-Residential
Z0251,682148,247443,251,Supermarket
Z0252,681089,247397,252,Residential
Z0253,680928,247388,253,Residential
Z0254,681041,247427,254,Residential
Z0255,681195,247440,255,Residential
Z0256,681199,247320,256,Residential
Z0257,681084,247343,257,Mixed-Use-Residential
Z0258,681037,247375,258,Residential
Z0259,681000,247350,259,Mixed-Use-Residential
Z0260,681019,247344,260,Mixed-Use-Residential
Z0261,681074,247285,261,Residential
Z0262,681132,247256,262,Residential
Z0263,681098,247215,263,Residential
Z0264,681097,247182,264,Industry
Z0265,681017,247296,265,Residential
Z0266,681031,247264,266,Residential
Z0267,680987,247264,267,Residential
Z0268,680955,247244,268,Residential
Z0269,680950,247293,269,Residential
Z0270,680952,247306,270,Residential
Z0271,681192,247673,271,Residential
Z0272,681161,247653,272,Industry
Z0273,681149,247643,273,Gym
Z0274,681193,247630,274,Mixed-Use-Residential
Z0275,681173,247631,275,Mixed-Use-Residential
Z0276,681192,247646,276,Office
Z0277,681161,247621,277,Gym
Z0278,681241,247714,278,Mixed-Use-Residential
Z0279,681248,247675,279,Residential
Z0280,681273,247699,280,Industry
Z0281,681371,247739,281,Mixed-Use-Residential
Z0282,681421,247656,282,Mixed-Use-Residential
Z0283,681366,247624,283,Mixed-Use-Residential
Z0284,681370,247610,284,Mixed-Use-Residential
Z0285,681349,247569,285,Mixed-Use-Residential
Z0286,681318,247634,286,Supermarket
Z0287,681294,247565,287,Mixed-Use-Residential
Z0288,681272,247524,288,Mixed-Use-Residential
Z0289,681233,247558,289,Mixed-Use-Residential
Z0291,681391,247559,291,School
Z0292,681357,247491,292,Mixed-Use-Residential
Z0293,681378,247468,293,Residential
Z0294,680517,246110,294,Auditorium
Z0295,680628,246101,295,Auditorium
Z0296,681276,247455,296,Residential
Z0297,681834,247722,297,Residential
Z0298,681747,247745,298,Mixed-Use-Residential
Z0299,681757,247714,299,Supermarket
Z0300,681443,247439,300,Residential
Z0301,681371,247414,301,Residential
Z0302,681409,247419,302,School
Z0303,681492,247468,303,Supermarket
Z0304,681485,247598,304,Residential
Z0305,681522,247535,305,Residential
Z0306,681546,247502,306,Industry
Z0307,681384,247352,307,Mixed-Use-Residential
Z0308,681323,247321,308,Auditorium
Z0309,681304,247277,309,Mixed-Use-Residential
Z0310,681293,247290,310,Residential
Z0311,681273,247283,311,Mixed-Use-Residential
Z0312,681280,247338,312,Residential
Z0313,681205,247237,313,Residential
Z0314,681157,247195,314,Mixed-Use-Residential
Z0315,681195,247188,315,Mixed-Use-Residential
Z0316,681210,247854,316,Mixed-Use-Residential
Z0317,681563,247660,317,Mixed-Use-Residential
Z0318,681536,247705,318,Mixed-Use-Residential
Z0319,681525,247701,319,Mixed-Use-Residential
Z0320,681502,247701,320,Mixed-Use-Residential
Z0321,681527,247680,321,Hospitality
Z0322,681438,247725,322,Mixed-Use-Residential
Z0323,681515,247634,323,Mixed-Use-Residential
Z0324,681513,247602,324,Mixed-Use-Residential
Z0325,681537,247604,325,Supermarket
Z0326,681553,247577,326,Residential
